idx,knowcode
0,29401
1,9999999
2,9999999
3,121102
4,412003
5,411104
6,301004
7,9999999
8,9999999
9,622201
10,702701
11,13101
12,9999999
13,155301
14,301004
15,9999999
16,9999999
17,861201
18,301004
19,623002
20,541301
21,624201
22,414401
23,24203
24,13202
25,9999999
26,232901
27,9999999
28,817101
29,9999999
30,826101
31,140201
32,301004
33,9999999
34,221102
35,411202
36,22103
37,133205
38,9999999
39,211201
40,831101
41,9999999
42,882301
43,412003
44,9999999
45,863301
46,9999999
47,211101
48,702201
49,212101
50,531701
51,9999999
52,9999999
53,211101
54,155102
55,158201
56,212101
57,306903
58,826101
59,110103
60,22103
61,301108
62,24203
63,25402
64,214301
65,212101
66,420101
67,9999999
68,9999999
69,9999999
70,414701
71,132004
72,301201
73,842301
74,622304
75,612101
76,28203
77,531601
78,301201
79,9999999
80,211201
81,9999999
82,522101
83,622201
84,16201
85,301401
86,522202
87,9999999
88,9999999
89,521201
90,140204
91,884102
92,9999999
93,9999999
94,211101
95,550101
96,211101
97,9999999
98,835201
99,612101
100,414702
101,29401
102,212101
103,212101
104,9999999
105,816103
106,32401
107,873301
108,32302
109,9999999
110,301108
111,9999999
112,211101
113,301108
114,821101
115,211101
116,212101
117,9999999
118,306501
119,861301
120,240301
121,9999999
122,9999999
123,12201
124,9999999
125,212101
126,622304
127,132004
128,872101
129,31501
130,301004
131,9999999
132,9999999
133,415202
134,133301
135,833001
136,140701
137,416304
138,15201
139,822101
140,864301
141,902101
142,158501
143,9999999
144,24402
145,9999999
146,212101
147,531301
148,155301
149,9999999
150,706001
151,140306
152,9999999
153,612101
154,522202
155,621402
156,702601
157,151108
158,12402
159,9999999
160,621201
161,542001
162,9999999
163,9999999
164,702301
165,301004
166,882301
167,853101
168,11201
169,133201
170,9999999
171,872301
172,904201
173,705901
174,826902
175,140207
176,415202
177,29203
178,306903
179,152101
180,212101
181,32302
182,621201
183,550201
184,26201
185,214301
186,416101
187,211101
188,9999999
189,871101
190,121101
191,9999999
192,841101
193,835101
194,861201
195,811301
196,211101
197,9999999
198,221102
199,420202
200,883101
201,522201
202,621203
203,9999999
204,306502
205,615203
206,13305
207,411102
208,211101
209,420202
210,416105
211,306301
212,9999999
213,884102
214,140204
215,9999999
216,531201
217,873101
218,901201
219,901201
220,9999999
221,621202
222,9999999
223,417201
224,9999999
225,701401
226,9999999
227,416102
228,9999999
229,882201
230,26301
231,9999999
232,29501
233,615101
234,621203
235,621402
236,13701
237,25201
238,159104
239,133301
240,29202
241,705901
242,833001
243,250301
244,872301
245,212101
246,9999999
247,9999999
248,841101
249,852201
250,29203
251,153104
252,159104
253,25402
254,823101
255,612501
256,121102
257,9999999
258,9999999
259,9999999
260,9999999
261,417102
262,215105
263,613001
264,301004
265,121105
266,301301
267,531201
268,134102
269,151108
270,811401
271,212101
272,811201
273,613001
274,9999999
275,9999999
276,701401
277,415404
278,531301
279,212101
280,9999999
281,531501
282,415201
283,31201
284,9999999
285,13305
286,301004
287,523001
288,9999999
289,132004
290,902101
291,24404
292,9999999
293,22201
294,9999999
295,155305
296,615501
297,901201
298,213001
299,140207
300,9999999
301,9999999
302,153201
303,9999999
304,211101
305,701101
306,415101
307,411101
308,702601
309,140204
310,864101
311,31301
312,211201
313,212101
314,512401
315,301111
316,301401
317,703101
318,413202
319,23402
320,833001
321,415503
322,11101
323,705902
324,14103
325,416501
326,9999999
327,214301
328,155104
329,9999999
330,873401
331,511201
332,822101
333,612101
334,307501
335,301106
336,9999999
337,616101
338,885101
339,702101
340,702301
341,307301
342,414902
343,9999999
344,615401
345,136002
346,415101
347,9999999
348,612101
349,140401
350,9999999
351,9999999
352,9999999
353,822101
354,9999999
355,9999999
356,212101
357,9999999
358,9999999
359,812401
360,826901
361,9999999
362,416202
363,9999999
364,301401
365,884102
366,9999999
367,524001
368,32301
369,16201
370,611001
371,623001
372,140306
373,9999999
374,872301
375,306101
376,140201
377,821201
378,817201
379,212101
380,231201
381,9999999
382,9999999
383,232101
384,882301
385,9999999
386,411101
387,9999999
388,9999999
389,522101
390,9999999
391,158401
392,33201
393,24203
394,415202
395,411104
396,9999999
397,881201
398,21001
399,420201
400,13401
401,301004
402,414301
403,9999999
404,612301
405,307501
406,9999999
407,414703
408,140701
409,9999999
410,301108
411,307301
412,121201
413,214102
414,9999999
415,157101
416,23403
417,562401
418,9999999
419,702701
420,306701
421,303001
422,822301
423,416104
424,211101
425,521304
426,612101
427,23201
428,140201
429,417201
430,159104
431,9999999
432,9999999
433,9999999
434,9999999
435,155401
436,9999999
437,811601
438,24404
439,415301
440,9999999
441,134301
442,212101
443,9999999
444,307401
445,301004
446,414902
447,883201
448,9999999
449,140304
450,301109
451,701101
452,211101
453,221201
454,9999999
455,240201
456,853101
457,22201
458,522202
459,621202
460,12201
461,31501
462,852101
463,140201
464,701101
465,9999999
466,13203
467,9999999
468,841101
469,215105
470,904101
471,24203
472,531501
473,612101
474,29401
475,9999999
476,9999999
477,110202
478,9999999
479,811201
480,24203
481,140206
482,9999999
483,825201
484,301111
485,12201
486,704001
487,511402
488,9999999
489,415404
490,823101
491,621203
492,9999999
493,416301
494,615601
495,861301
496,9999999
497,811601
498,532101
499,9999999
500,211101
501,9999999
502,622304
503,864201
504,420201
505,841101
506,9999999
507,420401
508,511501
509,153102
510,420202
511,24301
512,152201
513,211101
514,851101
515,562401
516,415501
517,903101
518,21001
519,9999999
520,853101
521,301004
522,152101
523,134101
524,816103
525,122104
526,831101
527,131202
528,28401
529,9999999
530,835101
